dataset,pred_len,lr,dropout,train_epochs,batch_size,mse,mae,mape,msmape,tag
etth1,96,0.001,0.0,10,32,0.37657296657562256,0.3982338309288025,9.001044273376465,57.25751519203186,etth1_M_in7_pl96_lr0p001_do0p0_ep10_bs32
etth1,96,0.001,0.05,10,32,0.37657296657562256,0.3982338309288025,9.001044273376465,57.25751519203186,etth1_M_in7_pl96_lr0p001_do0p05_ep10_bs32
etth1,96,0.001,0.1,10,32,0.37657296657562256,0.3982338309288025,9.001044273376465,57.25751519203186,etth1_M_in7_pl96_lr0p001_do0p1_ep10_bs32
etth1,96,0.001,0.2,10,32,0.37657296657562256,0.3982338309288025,9.001044273376465,57.25751519203186,etth1_M_in7_pl96_lr0p001_do0p2_ep10_bs32
etth1,96,0.005,0.0,10,32,0.3841443955898285,0.40471312403678894,9.12861156463623,57.98688530921936,etth1_M_in7_pl96_lr0p005_do0p0_ep10_bs32
etth1,96,0.005,0.05,10,32,0.3841443955898285,0.40471312403678894,9.12861156463623,57.98688530921936,etth1_M_in7_pl96_lr0p005_do0p05_ep10_bs32
etth1,96,0.005,0.1,10,32,0.3841443955898285,0.40471312403678894,9.12861156463623,57.98688530921936,etth1_M_in7_pl96_lr0p005_do0p1_ep10_bs32
etth1,96,0.005,0.2,10,32,0.3841443955898285,0.40471312403678894,9.12861156463623,57.98688530921936,etth1_M_in7_pl96_lr0p005_do0p2_ep10_bs32
etth1,192,0.0001,0.0,10,32,0.43158337473869324,0.4379222095012665,9.532252311706543,63.292187452316284,etth1_M_in7_pl192_lr0p0001_do0p0_ep10_bs32
etth1,192,0.0001,0.05,10,32,0.43158337473869324,0.4379222095012665,9.532252311706543,63.292187452316284,etth1_M_in7_pl192_lr0p0001_do0p05_ep10_bs32
etth1,192,0.0001,0.1,10,32,0.43158337473869324,0.4379222095012665,9.532252311706543,63.292187452316284,etth1_M_in7_pl192_lr0p0001_do0p1_ep10_bs32
etth1,192,0.0001,0.2,10,32,0.43158337473869324,0.4379222095012665,9.532252311706543,63.292187452316284,etth1_M_in7_pl192_lr0p0001_do0p2_ep10_bs32
etth1,192,0.0005,0.0,10,32,0.42516210675239563,0.4359892010688782,8.958356857299805,62.34748363494873,etth1_M_in7_pl192_lr0p0005_do0p0_ep10_bs32
etth1,192,0.0005,0.05,10,32,0.42516210675239563,0.4359892010688782,8.958356857299805,62.34748363494873,etth1_M_in7_pl192_lr0p0005_do0p05_ep10_bs32
etth1,192,0.0005,0.1,10,32,0.42516210675239563,0.4359892010688782,8.958356857299805,62.34748363494873,etth1_M_in7_pl192_lr0p0005_do0p1_ep10_bs32
etth1,192,0.0005,0.2,10,32,0.42516210675239563,0.4359892010688782,8.958356857299805,62.34748363494873,etth1_M_in7_pl192_lr0p0005_do0p2_ep10_bs32
etth1,192,0.001,0.0,10,32,0.4063209593296051,0.4149835407733917,8.728429794311523,59.24510955810547,etth1_M_in7_pl192_lr0p001_do0p0_ep10_bs32
etth1,192,0.001,0.05,10,32,0.4063209593296051,0.4149835407733917,8.728429794311523,59.24510955810547,etth1_M_in7_pl192_lr0p001_do0p05_ep10_bs32
etth1,192,0.001,0.1,10,32,0.4063209593296051,0.4149835407733917,8.728429794311523,59.24510955810547,etth1_M_in7_pl192_lr0p001_do0p1_ep10_bs32
